,date,wm_yr_wk,weekday,wday,month,year,d,sporting_days,cultrural_days,national_days,religious_days,sales
0,1/29/11,11101,Saturday,1,1,2011,1,0,0,0,0,19
1,1/30/11,11101,Sunday,2,1,2011,2,0,0,0,0,14
2,1/31/11,11101,Monday,3,1,2011,3,0,0,0,0,10
3,2/1/11,11101,Tuesday,4,2,2011,4,0,0,0,0,8
4,2/2/11,11101,Wednesday,5,2,2011,5,0,0,0,0,8
5,2/3/11,11101,Thursday,6,2,2011,6,0,0,0,0,13
6,2/4/11,11101,Friday,7,2,2011,7,0,0,0,0,16
7,2/5/11,11102,Saturday,1,2,2011,8,0,0,0,0,43
8,2/6/11,11102,Sunday,2,2,2011,9,1,0,0,0,25
9,2/7/11,11102,Monday,3,2,2011,10,0,0,0,0,18
10,2/8/11,11102,Tuesday,4,2,2011,11,0,0,0,0,14
11,2/9/11,11102,Wednesday,5,2,2011,12,0,0,0,0,11
12,2/10/11,11102,Thursday,6,2,2011,13,0,0,0,0,12
13,2/11/11,11102,Friday,7,2,2011,14,0,0,0,0,13
14,2/12/11,11103,Saturday,1,2,2011,15,0,0,0,0,33
15,2/13/11,11103,Sunday,2,2,2011,16,0,0,0,0,31
16,2/14/11,11103,Monday,3,2,2011,17,0,1,0,0,8
17,2/15/11,11103,Tuesday,4,2,2011,18,0,0,0,0,18
18,2/16/11,11103,Wednesday,5,2,2011,19,0,0,0,0,13
19,2/17/11,11103,Thursday,6,2,2011,20,0,0,0,0,8
20,2/18/11,11103,Friday,7,2,2011,21,0,0,0,0,13
21,2/19/11,11104,Saturday,1,2,2011,22,0,0,0,0,20
22,2/20/11,11104,Sunday,2,2,2011,23,0,0,0,0,23
23,2/21/11,11104,Monday,3,2,2011,24,0,0,1,0,16
24,2/22/11,11104,Tuesday,4,2,2011,25,0,0,0,0,7
25,2/23/11,11104,Wednesday,5,2,2011,26,0,0,0,0,16
26,2/24/11,11104,Thursday,6,2,2011,27,0,0,0,0,6
27,2/25/11,11104,Friday,7,2,2011,28,0,0,0,0,6
28,2/26/11,11105,Saturday,1,2,2011,29,0,0,0,0,16
29,2/27/11,11105,Sunday,2,2,2011,30,0,0,0,0,16
30,2/28/11,11105,Monday,3,2,2011,31,0,0,0,0,6
31,3/1/11,11105,Tuesday,4,3,2011,32,0,0,0,0,14
32,3/2/11,11105,Wednesday,5,3,2011,33,0,0,0,0,18
33,3/3/11,11105,Thursday,6,3,2011,34,0,0,0,0,14
34,3/4/11,11105,Friday,7,3,2011,35,0,0,0,0,18
35,3/5/11,11106,Saturday,1,3,2011,36,0,0,0,0,43
36,3/6/11,11106,Sunday,2,3,2011,37,0,0,0,0,24
37,3/7/11,11106,Monday,3,3,2011,38,0,0,0,0,15
38,3/8/11,11106,Tuesday,4,3,2011,39,0,0,0,0,12
39,3/9/11,11106,Wednesday,5,3,2011,40,0,0,0,1,14
40,3/10/11,11106,Thursday,6,3,2011,41,0,0,0,0,19
41,3/11/11,11106,Friday,7,3,2011,42,0,0,0,0,14
42,3/12/11,11107,Saturday,1,3,2011,43,0,0,0,0,26
43,3/13/11,11107,Sunday,2,3,2011,44,0,0,0,0,25
44,3/14/11,11107,Monday,3,3,2011,45,0,0,0,0,13
45,3/15/11,11107,Tuesday,4,3,2011,46,0,0,0,0,16
46,3/16/11,11107,Wednesday,5,3,2011,47,0,0,0,1,12
47,3/17/11,11107,Thursday,6,3,2011,48,0,1,0,0,14
48,3/18/11,11107,Friday,7,3,2011,49,0,0,0,0,11
49,3/19/11,11108,Saturday,1,3,2011,50,0,0,0,0,29
50,3/20/11,11108,Sunday,2,3,2011,51,0,0,0,1,21
51,3/21/11,11108,Monday,3,3,2011,52,0,0,0,0,18
52,3/22/11,11108,Tuesday,4,3,2011,53,0,0,0,0,13
53,3/23/11,11108,Wednesday,5,3,2011,54,0,0,0,0,9
54,3/24/11,11108,Thursday,6,3,2011,55,0,0,0,0,4
55,3/25/11,11108,Friday,7,3,2011,56,0,0,0,0,23
56,3/26/11,11109,Saturday,1,3,2011,57,0,0,0,0,34
57,3/27/11,11109,Sunday,2,3,2011,58,0,0,0,0,38
58,3/28/11,11109,Monday,3,3,2011,59,0,0,0,0,11
59,3/29/11,11109,Tuesday,4,3,2011,60,0,0,0,0,17
60,3/30/11,11109,Wednesday,5,3,2011,61,0,0,0,0,22
61,3/31/11,11109,Thursday,6,3,2011,62,0,0,0,0,27
62,4/1/11,11109,Friday,7,4,2011,63,0,0,0,0,32
63,4/2/11,11110,Saturday,1,4,2011,64,0,0,0,0,41
64,4/3/11,11110,Sunday,2,4,2011,65,0,0,0,0,41
65,4/4/11,11110,Monday,3,4,2011,66,0,0,0,0,17
66,4/5/11,11110,Tuesday,4,4,2011,67,0,0,0,0,29
67,4/6/11,11110,Wednesday,5,4,2011,68,0,0,0,0,19
68,4/7/11,11110,Thursday,6,4,2011,69,0,0,0,0,23
69,4/8/11,11110,Friday,7,4,2011,70,0,0,0,0,27
70,4/9/11,11111,Saturday,1,4,2011,71,0,0,0,0,32
71,4/10/11,11111,Sunday,2,4,2011,72,0,0,0,0,44
72,4/11/11,11111,Monday,3,4,2011,73,0,0,0,0,15
73,4/12/11,11111,Tuesday,4,4,2011,74,0,0,0,0,11
74,4/13/11,11111,Wednesday,5,4,2011,75,0,0,0,0,18
75,4/14/11,11111,Thursday,6,4,2011,76,0,0,0,0,27
76,4/15/11,11111,Friday,7,4,2011,77,0,0,0,0,38
77,4/16/11,11112,Saturday,1,4,2011,78,0,0,0,0,33
78,4/17/11,11112,Sunday,2,4,2011,79,0,0,0,0,51
79,4/18/11,11112,Monday,3,4,2011,80,0,0,0,0,20
80,4/19/11,11112,Tuesday,4,4,2011,81,0,0,0,0,11
81,4/20/11,11112,Wednesday,5,4,2011,82,0,0,0,0,20
82,4/21/11,11112,Thursday,6,4,2011,83,0,0,0,0,17
83,4/22/11,11112,Friday,7,4,2011,84,0,0,0,0,36
84,4/23/11,11113,Saturday,1,4,2011,85,0,0,0,0,54
85,4/24/11,11113,Sunday,2,4,2011,86,0,1,0,1,33
86,4/25/11,11113,Monday,3,4,2011,87,0,0,0,0,9
87,4/26/11,11113,Tuesday,4,4,2011,88,0,0,0,1,12
88,4/27/11,11113,Wednesday,5,4,2011,89,0,0,0,0,11
89,4/28/11,11113,Thursday,6,4,2011,90,0,0,0,0,22
90,4/29/11,11113,Friday,7,4,2011,91,0,0,0,0,17
91,4/30/11,11114,Saturday,1,4,2011,92,0,0,0,0,37
92,5/1/11,11114,Sunday,2,5,2011,93,0,0,0,0,52
93,5/2/11,11114,Monday,3,5,2011,94,0,0,0,0,19
94,5/3/11,11114,Tuesday,4,5,2011,95,0,0,0,0,24
95,5/4/11,11114,Wednesday,5,5,2011,96,0,0,0,0,33
96,5/5/11,11114,Thursday,6,5,2011,97,0,1,0,0,25
97,5/6/11,11114,Friday,7,5,2011,98,0,0,0,0,26
98,5/7/11,11115,Saturday,1,5,2011,99,0,0,0,0,55
99,5/8/11,11115,Sunday,2,5,2011,100,0,1,0,0,29
100,5/9/11,11115,Monday,3,5,2011,101,0,0,0,0,24
101,5/10/11,11115,Tuesday,4,5,2011,102,0,0,0,0,10
102,5/11/11,11115,Wednesday,5,5,2011,103,0,0,0,0,21
103,5/12/11,11115,Thursday,6,5,2011,104,0,0,0,0,19
104,5/13/11,11115,Friday,7,5,2011,105,0,0,0,0,23
105,5/14/11,11116,Saturday,1,5,2011,106,0,0,0,0,33
106,5/15/11,11116,Sunday,2,5,2011,107,0,0,0,0,36
107,5/16/11,11116,Monday,3,5,2011,108,0,0,0,0,15
108,5/17/11,11116,Tuesday,4,5,2011,109,0,0,0,0,7
109,5/18/11,11116,Wednesday,5,5,2011,110,0,0,0,0,23
110,5/19/11,11116,Thursday,6,5,2011,111,0,0,0,0,20
111,5/20/11,11116,Friday,7,5,2011,112,0,0,0,0,33
112,5/21/11,11117,Saturday,1,5,2011,113,0,0,0,0,58
113,5/22/11,11117,Sunday,2,5,2011,114,0,0,0,0,28
114,5/23/11,11117,Monday,3,5,2011,115,0,0,0,0,18
115,5/24/11,11117,Tuesday,4,5,2011,116,0,0,0,0,14
116,5/25/11,11117,Wednesday,5,5,2011,117,0,0,0,0,11
117,5/26/11,11117,Thursday,6,5,2011,118,0,0,0,0,18
118,5/27/11,11117,Friday,7,5,2011,119,0,0,0,0,18
119,5/28/11,11118,Saturday,1,5,2011,120,0,0,0,0,34
120,5/29/11,11118,Sunday,2,5,2011,121,0,0,0,0,55
121,5/30/11,11118,Monday,3,5,2011,122,0,0,1,0,23
122,5/31/11,11118,Tuesday,4,5,2011,123,1,0,0,0,15
123,6/1/11,11118,Wednesday,5,6,2011,124,0,0,0,0,15
124,6/2/11,11118,Thursday,6,6,2011,125,0,0,0,0,31
125,6/3/11,11118,Friday,7,6,2011,126,0,0,0,0,29
126,6/4/11,11119,Saturday,1,6,2011,127,0,0,0,0,40
127,6/5/11,11119,Sunday,2,6,2011,128,0,0,0,0,39
128,6/6/11,11119,Monday,3,6,2011,129,0,0,0,0,25
